borough,neighbourhood,listings,avg_total_price,avg_review_rate
Queens,Kew Gardens Hills,66,828.530303030303,3.3333333333333335
Queens,Laurelton,65,710.0923076923077,3.2615384615384615
Staten Island,Stapleton,64,839.109375,3.640625
Staten Island,Concord,60,725.05,3.1333333333333333
Staten Island,West Brighton,59,765.2981355932203,2.9661016949152543
Bronx,Claremont Village,59,763.7118644067797,3.3728813559322033
Bronx,Throgs Neck,56,821.6428571428571,3.392857142857143
Bronx,University Heights,55,742.0363636363636,3.418181818181818
Bronx,Mount Hope,54,751.4629629629629,3.2962962962962963
Bronx,Hunts Point,53,732.5662264150944,3.207547169811321
Brooklyn,Coney Island,50,834.36,3.08
Staten Island,Arrochar,50,744.42,3.5
Queens,Howard Beach,50,655.68,3.28
Bronx,Clason Point,49,708.734693877551,3.4693877551020407
Queens,College Point,48,802.9375,3.4375
Queens,Jamaica Estates,48,759.5416666666666,3.5416666666666665
Brooklyn,Bath Beach,47,867.6023404255319,3.148936170212766
Bronx,Schuylerville,47,791.2340425531914,3.5106382978723403
Bronx,Morris Heights,46,891.5434782608696,3.1956521739130435
Bronx,Morris Park,45,847.9777777777778,3.1777777777777776
Bronx,Belmont,45,806.5526666666667,3.2888888888888888
Bronx,Bronxdale,45,708.7333333333333,3.2444444444444445
Staten Island,Randall Manor,45,566.8,3.688888888888889
Bronx,Morrisania,44,686.3181818181819,3.3863636363636362
Queens,Hollis,44,665.8409090909091,3.590909090909091
Bronx,Pelham Bay,43,890.2325581395348,3.4186046511627906
Bronx,City Island,41,776.7073170731708,3.707317073170732
Queens,Bayswater,40,699.125,3.475
Staten Island,Clifton,39,842.3589743589744,3.8205128205128207
Bronx,Edenwald,35,728.9714285714285,3.5428571428571427
Bronx,Soundview,33,737.1818181818181,3.393939393939394
Queens,Edgemere,32,756.335625,2.96875
Brooklyn,Navy Yard,31,578.3225806451613,3.3548387096774195
Queens,Belle Harbor,30,703.1333333333333,3.2
Brooklyn,Bergen Beach,30,699.8666666666667,2.8333333333333335
Bronx,Woodlawn,29,704.5862068965517,3.310344827586207
Bronx,Tremont,29,666.0344827586207,3.4482758620689653
